rider,gender,price,team
Matthew Lord,Men,3,Richardson-Trek-Das
James McKay,Men,5,Saint Piran
Rowan Baker,Men,5,Saint Piran
James Hartley,Men,4,Cycling Sheffield
Jude Taylor,Men,1,PB Performance
Toby Barnes,Men,4,Unknown
Alexander Richardson,Men,5,Saint Piran
Ben Marsh,Men,3,Project1
Daniel Barnes,Men,4,Unknown
David Hird,Men,5,CyclingSheffield
Dom Jackson,Men,1,ForanCC
Ryan Williams,Men,1,Huub BCC
Sam Culverwell,Men,5,Saint Piran
Adam Kenway,Men,2,Huub BCC
Cai Davies,Men,4,Richardson-Trek-Das
Dylan Westley,Men,3,Saint Piran Dev
Huw Buck Jones,Men,4,Saint Piran Dev
Jake Jackson,Men,1,Thriva SRCT
William Truelove,Men,4,Thriva SRCT
Bradley Symonds,Men,3,Saint Piran
Carl Stubbs,Men,2,Moonglu
Harry Macfarlane,Men,2,Taap-Kalas
Jack Hartley,Men,4,CyclingSheffield
Joe Shillabeer,Men,3,Shibden-A Fawcett
Joseph Smith,Men,4,Wheelbase Cabtech Castelli
Luke Barfoot,Men,2,Primera-TeamJobs
Matthew Gilmour,Men,1,Primera-TeamJobs
Max Krasinski,Men,2,CyclingSheffield
Nathan Hardy,Men,2,PB Performance
Nicholas Tyrie,Men,1,ForanCC
Oliver Wood,Men,5,Saint Piran
Sam Chaplin,Men,2,CyclingSheffield
Simon Alexander,Men,2,Richardson-Trek-Das
Adam Charleston,Men,1,PB Performance
Adam Kelly,Men,2,Project1
Benjamin Bright,Men,3,Thriva SRCT
Callum Laborde,Men,4,Wheelbase Cabtech Castelli
Cameron McLaren,Men,3,Taap-Kalas
Dylan Hicks,Men,4,Saint Piran
Edward Ayres,Men,1,Reflex Racing
Finn Mason,Men,2,Saint Piran Dev
Jacques Coates,Men,3,PB Performance
James Ambrose-Parish,Men,2,Taap-Kalas
James Bevan,Men,3,Army Cycling
Jamie Pullen,Men,3,Taap-Kalas
Jamie Withcer,Men,3,Bmth Cycleworks VitecFire Ford CE
Jim Brown,Men,5,Unknown
Joe Wilson,Men,3,Unknown
Joshua Horsfield,Men,2,Mud Dock Racing
Joshua Knowles,Men,1,Taap-Kalas
Joshua Price,Men,4,Thriva SRCT
Lewis Tinsley,Men,2,HUUB Junior BCC
Matthew Ellis,Men,2,Thriva SRCT
Matthew Warhurst,Men,4,CyclingSheffield
Oliver Hucks,Men,4,Taap-Kalas
Ollie Boarer,Men,2,Tofauti-Everyone Active
Ollie Peckover,Men,5,TrainSharp Orro Elite
Sebastian Garry,Men,4,Huub BCC
Sebastian Grindley,Men,4,Fensham Howes
Tim Shoreman,Men,5,Wheelbase Cabtech Castelli
Tobias Bartlett,Men,1,Huub BCC
Tom Martin,Men,3,Wheelbase Cabtech Castelli
Tyler Hannay,Men,4,Saint Piran
William Taylor,Men,3,Moonglu
Zak Machin,Men,4,Huub BCC
Beth Morrow,Women,3,Alba Development
Lucy Glover,Women,2,Shibden Hope Tech Apex
Robyn Clay,Women,5,Das-Hutchinson-BrotherUK
Lucy Harris,Women,3,Loughborough Lightning
Amelia Cebak,Women,1,Tofauti Everyone Active
Anya Tamplin,Women,2,Loughborough Lightning
Cat Ferguson,Women,5,Shibden Hope Tech Apex
Francesca Hall,Women,5,Das-Hutchinson-BrotherUK
Sammie Stuart,Women,5,Das-Hutchinson-BrotherUK
Isabel Darvill,Women,3,Doltcini-O'Shea
Lucy Ellmore,Women,3,ProNoctis-200 Degrees-Hargreaves Contracting
Sophie Caldwell,Women,1,Loughborough Lightning
Erin Avill,Women,2,Nouvelles Cycling x Prendas
Arabella Blackburn,Women,1,Shibden Hope Tech Apex
Carys Lloyd,Women,2,Tofauti Everyone Active
Corinne Side,Women,5,ProNoctis-200 Degrees-Hargreaves Contracting
Danielle Khan,Women,2,Nouvelles Cycling x Prendas
Gemma Mitchell,Women,3,Team Boompods
Hannah Bayes,Women,1,Saint Piran WRT
Hannah Farran,Women,2,Team Boompods
Hope Inglis,Women,2,BrotherUK OnForm
Jo Tindley,Women,4,ProNoctis-200 Degrees-Hargreaves Contracting
Lucy Lee,Women,5,Das-Hutchinson-BrotherUK
Lucy Neatham,Women,1,London Academy
Madelaine Leech,Women,4,Lifeplus-Wahoo
Mary Wilkinson,Women,5,Loughborough Lightning
Morven Yeoman,Women,3,Das-Hutchinson-BrotherUK
Roisin Lally,Women,2,Loughborough Lightning
Alive Butcher,Women,1,Wolfox x Pedal Mafia CAMS
Annabel Ramsay,Women,3,ProNoctis-200 Degrees-Hargreaves Contracting
Bee Townsend,Women,1,Nouvelles Cycling x Prendas
Bexy Dew,Women,5,ProNoctis-200 Degrees-Hargreaves Contracting
Carys Blowers,Women,1,Liv CC-Halo Films
Eilidh Shaw,Women,4,Alba Development
Elite Mitchinson,Women,1,Liv CC-Halo Films
Elizabeth McKinnon,Women,2,Saint Piran WRT
Ella Harris,Women,3,Lifeplus-Wahoo
Ella Jamieson,Women,4,Lifeplus-Wahoo
Ella Tandy,Women,1,Tofauti Everyone Active
Ellen Bennett,Women,2,BrotherUK OnForm
Esther Wong,Women,1,Shibden Hope Tech Apex
Gabriella Homer,Women,2,Wolfox x Pedal Mafia CAMS
