,Unnamed: 0,Event_ID,Event_Title,Event_Date,Event_Day,Event_Type,Race_Date,Race_Time,Race_Name,Race_Classification,Race_Band,Race_Category
1,1,237186,X²0 badkamers Trofee - GP Sven Nys (UCI/C1),01/01/21,Fri,Cyclo-Cross,1 Jan 21,01:00,Elite Men,International,,
2,2,237186,X²0 badkamers Trofee - GP Sven Nys (UCI/C1),01/01/21,Fri,Cyclo-Cross,1 Jan 21,01:00,Elite Women,International,,
4,4,234923,Forme Notts & Derby League - Presented by Bolsover & District Cycling Club (Cancelled),02/01/21,Sat,Cyclo-Cross,2 Jan 21,10:00,Race 1 - Veteran Men 50+,Non-Ranking,,"Vet 50-59, Vet 60+"
5,5,234923,Forme Notts & Derby League - Presented by Bolsover & District Cycling Club (Cancelled),02/01/21,Sat,Cyclo-Cross,2 Jan 21,11:15,Race 2 - Youth,Non-Ranking,,"Youth U14, Youth U16"
6,6,234923,Forme Notts & Derby League - Presented by Bolsover & District Cycling Club (Cancelled),02/01/21,Sat,Cyclo-Cross,2 Jan 21,12:30,Race 3 - Veteran Men 40-49,Non-Ranking,,Vet 40-49
7,7,234923,Forme Notts & Derby League - Presented by Bolsover & District Cycling Club (Cancelled),02/01/21,Sat,Cyclo-Cross,2 Jan 21,14:00,Race 4 - Women,Non-Ranking,,"Junior, Senior, Vet 40-49, Vet 50-59, Vet 60+"
8,8,234923,Forme Notts & Derby League - Presented by Bolsover & District Cycling Club (Cancelled),02/01/21,Sat,Cyclo-Cross,2 Jan 21,15:15,Race 5 - Senior & Junior Men,Non-Ranking,,"Junior, Senior"
10,10,237187,Troyes Cyclocross International (UCI/C1),02/01/21,Sat,Cyclo-Cross,2 Jan 21,01:00,Elite Men,International,,
11,11,237187,Troyes Cyclocross International (UCI/C1),02/01/21,Sat,Cyclo-Cross,2 Jan 21,01:00,Elite Women,International,,
13,13,237188,Cyclocross Gullegem (UCI/C2),02/01/21,Sat,Cyclo-Cross,2 Jan 21,01:00,Elite Men,International,,
14,14,237188,Cyclocross Gullegem (UCI/C2),02/01/21,Sat,Cyclo-Cross,2 Jan 21,01:00,Elite Women,International,,
16,16,235260,TPR Off-Road Time Trial Series #3 (Cancelled),03/01/21,Sun,MTB XC,3 Jan 21,11:00,TPR Off Road TT Series #3 U14,Go-MTB,,Juvenile
17,17,235260,TPR Off-Road Time Trial Series #3 (Cancelled),03/01/21,Sun,MTB XC,3 Jan 21,13:00,TPR Off Road TT Series #3,Go-MTB,,"Elite, Expert, G/Vet, Junior, Master, N/A, S/Vet, Senior, Sport, Veteran, Youth"
19,19,236040,Leicestershire Cyclo-Cross League Rd 2 (Cancelled),03/01/21,Sun,Cyclo-Cross,3 Jan 21,12:30,Senior Men,Non-Ranking,,Senior
20,20,236040,Leicestershire Cyclo-Cross League Rd 2 (Cancelled),03/01/21,Sun,Cyclo-Cross,3 Jan 21,14:15,Senior Women,Non-Ranking,,Senior
