Event ID,Race Name,RSL Discipline,Position,RSL Points
555248,Rapha Lincoln GP,Road Race,1,70
555248,Rapha Lincoln GP,Road Race,2,60
555248,Rapha Lincoln GP,Road Race,3,50
555248,Rapha Lincoln GP,Road Race,4,40
555248,Rapha Lincoln GP,Road Race,5,30
555248,Rapha Lincoln GP,Road Race,6,25
555248,Rapha Lincoln GP,Road Race,7,20
555248,Rapha Lincoln GP,Road Race,8,18
555248,Rapha Lincoln GP,Road Race,9,16
555248,Rapha Lincoln GP,Road Race,10,14
555248,Rapha Lincoln GP,Road Race,11,12
555248,Rapha Lincoln GP,Road Race,12,11
555248,Rapha Lincoln GP,Road Race,13,10
555248,Rapha Lincoln GP,Road Race,14,9
555248,Rapha Lincoln GP,Road Race,15,8
555248,Rapha Lincoln GP,Road Race,16,5
555248,Rapha Lincoln GP,Road Race,17,4
555248,Rapha Lincoln GP,Road Race,18,3
555248,Rapha Lincoln GP,Road Race,19,2
555248,Rapha Lincoln GP,Road Race,20,1
313242,Ronde Van Wymeswold (GC),Stage Race,1,50
313242,Ronde Van Wymeswold (GC),Stage Race,2,35
313242,Ronde Van Wymeswold (GC),Stage Race,3,30
313242,Ronde Van Wymeswold (GC),Stage Race,4,25
313242,Ronde Van Wymeswold (GC),Stage Race,5,20
313242,Ronde Van Wymeswold (GC),Stage Race,6,18
313242,Ronde Van Wymeswold (GC),Stage Race,7,16
313242,Ronde Van Wymeswold (GC),Stage Race,8,14
313242,Ronde Van Wymeswold (GC),Stage Race,9,12
313242,Ronde Van Wymeswold (GC),Stage Race,10,10
313242,Ronde Van Wymeswold (GC),Stage Race,11,8
313242,Ronde Van Wymeswold (GC),Stage Race,12,7
313242,Ronde Van Wymeswold (GC),Stage Race,13,6
313242,Ronde Van Wymeswold (GC),Stage Race,14,5
313242,Ronde Van Wymeswold (GC),Stage Race,15,4
313242,Ronde Van Wymeswold (GC),Stage Race,16,3
313242,Ronde Van Wymeswold (GC),Stage Race,17,2
313242,Ronde Van Wymeswold (GC),Stage Race,18,2
313242,Ronde Van Wymeswold (GC),Stage Race,19,1
313242,Ronde Van Wymeswold (GC),Stage Race,20,1
313242,Ronde Van Wymeswold (Stage 1),Stage Race,1,5
313242,Ronde Van Wymeswold (Stage 1),Stage Race,2,4
313242,Ronde Van Wymeswold (Stage 1),Stage Race,3,3
313242,Ronde Van Wymeswold (Stage 1),Stage Race,4,2
313242,Ronde Van Wymeswold (Stage 1),Stage Race,5,1
313242,Ronde Van Wymeswold (Stage 2),Stage Race,1,5
313242,Ronde Van Wymeswold (Stage 2),Stage Race,2,4
313242,Ronde Van Wymeswold (Stage 2),Stage Race,3,3
313242,Ronde Van Wymeswold (Stage 2),Stage Race,4,2
313242,Ronde Van Wymeswold (Stage 2),Stage Race,5,1
316980,VIA Criterium,Crit,1,45
316980,VIA Criterium,Crit,2,35
316980,VIA Criterium,Crit,3,30
316980,VIA Criterium,Crit,4,20
316980,VIA Criterium,Crit,5,16
316980,VIA Criterium,Crit,6,10
316980,VIA Criterium,Crit,7,9
316980,VIA Criterium,Crit,8,8
316980,VIA Criterium,Crit,9,7
316980,VIA Criterium,Crit,10,6
316980,VIA Criterium,Crit,11,5
316980,VIA Criterium,Crit,12,4
316980,VIA Criterium,Crit,13,3
316980,VIA Criterium,Crit,14,2
316980,VIA Criterium,Crit,15,1
316980,VIA Criterium,Crit,16,0
316980,VIA Criterium,Crit,17,0
316980,VIA Criterium,Crit,18,0
316980,VIA Criterium,Crit,19,0
316980,VIA Criterium,Crit,20,0
315737,Tour of the Reservoir,Road Race,1,60
315737,Tour of the Reservoir,Road Race,2,45
315737,Tour of the Reservoir,Road Race,3,40
315737,Tour of the Reservoir,Road Race,4,30
315737,Tour of the Reservoir,Road Race,5,20
315737,Tour of the Reservoir,Road Race,6,18
315737,Tour of the Reservoir,Road Race,7,16
315737,Tour of the Reservoir,Road Race,8,14
315737,Tour of the Reservoir,Road Race,9,12
