season,gender,race_id,race_name,category,race_nationality,uci_race_classification,stage_race_boolean,start_date,end_date,race_tag
2023,Men,677,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08,
2023,Men,456,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15,
2023,Men,454,Vuelta al Táchira,Road,VE,2.2,Stage Race,2023/01/15,2023/01/22,
2023,Men,1,Tour Down Under,Road,AU,2.UWT,Stage Race,2023/01/17,2023/01/22,
2023,Men,8467,Gravel and Tar,Road,NZ,1.2,One Day,2023/01/21,2023/01/21,
2023,Men,411,Clàssica Comunitat Valenciana 1969 - GP Valencia,Road,ES,1.1,One Day,2023/01/22,2023/01/22,
2023,Men,5247,Vuelta a San Juan,Road,AR,2.Pro,Stage Race,2023/01/22,2023/01/29,
2023,Men,117,Tropicale Amissa Bongo,Road,GA,2.1,Stage Race,2023/01/23,2023/01/29,
2023,Men,271,Trofeo Calvia,Road,ES,1.1,One Day,2023/01/25,2023/01/25,
2023,Men,273,Trofeo Alcudia - Port d'Alcudia,Road,ES,1.1,One Day,2023/01/26,2023/01/26,
2023,Men,460,Tour of Sharjah,Road,AE,2.2,Stage Race,2023/01/27,2023/01/31,
2023,Men,274,Trofeo Andratx,Road,ES,1.1,One Day,2023/01/27,2023/01/27,
2023,Men,20014,Grand Prix Aspendos,Road,TR,1.2,One Day,2023/01/28,2023/01/28,
2023,Men,100,Trofeo Serra de Tramuntana,Road,ES,1.1,One Day,2023/01/28,2023/01/28,
2023,Men,1172,Cadel Road Race,Road,AU,1.UWT,One Day,2023/01/29,2023/01/29,
2023,Men,83,Trofeo Palma,Road,ES,1.1,One Day,2023/01/29,2023/01/29,
2023,Men,97,GP la Marseillaise,Road,FR,1.1,One Day,2023/01/29,2023/01/29,
2023,Men,868,AlUla Tour,Road,SA,2.1,Stage Race,2023/01/30,2023/02/03,
2023,Men,11406,Tour du Sahel,Road,MR,2.2,Stage Race,2023/02/01,2023/02/05,
2023,Men,13738,Vuelta del Porvenir San Luis,Road,AR,2.2,Stage Race,2023/02/01,2023/02/05,
2023,Men,319,Volta Comunitat Valenciana,Road,ES,2.Pro,Stage Race,2023/02/01,2023/02/05,
2023,Men,106,Étoile de Bessèges,Road,FR,2.1,Stage Race,2023/02/01,2023/02/05,
2023,Men,20015,Grand Prix Apollon Temple,Road,TR,1.2,One Day,2023/02/04,2023/02/04,
2023,Men,369,Africa ITT,Road,,CCTT,One Day,2023/02/09,2023/02/09,
2023,Men,20310,Africa ITT-U23,Road,,CCUT,One Day,2023/02/09,2023/02/09,
2023,Men,18946,Muscat Classic,Road,OM,1.1,One Day,2023/02/10,2023/02/10,
2023,Men,57,Tour of Oman,Road,OM,2.Pro,Stage Race,2023/02/11,2023/02/15,
2023,Men,74,Vuelta a Murcia,Road,ES,1.1,One Day,2023/02/11,2023/02/11,
2023,Men,18947,Figueira Champions Classic,Road,PT,1.1,One Day,2023/02/12,2023/02/12,
2023,Men,129,Clasica de Almeria,Road,ES,1.Pro,One Day,2023/02/12,2023/02/12,
2023,Men,370,Africa RR,Road,,CCRR,One Day,2023/02/13,2023/02/13,
2023,Men,16519,Jaén Paraiso Interior,Road,ES,1.1,One Day,2023/02/13,2023/02/13,
2023,Men,110,Vuelta a Andalucía,Road,ES,2.Pro,Stage Race,2023/02/15,2023/02/19,
2023,Men,107,Volta ao Algarve,Road,PT,2.Pro,Stage Race,2023/02/15,2023/02/19,
2023,Men,111,Tour Alpes Maritimes du Var,Road,FR,2.1,Stage Race,2023/02/17,2023/02/19,
2023,Men,450,Tour of Rwanda,Road,RW,2.1,Stage Race,2023/02/19,2023/02/26,
2023,Men,9800,UAE Tour,Road,AE,2.UWT,Stage Race,2023/02/20,2023/02/26,
2023,Men,16526,Gran Camiño,Road,ES,2.1,Stage Race,2023/02/23,2023/02/26,
2023,Men,53,Omloop Het Nieuwsblad,Road,BE,1.UWT,One Day,2023/02/25,2023/02/25,Cobbled Classic
2023,Men,121,Faun-Ardèche Classic,Road,FR,1.Pro,One Day,2023/02/25,2023/02/25,
2023,Men,432,La Drome Classic,Road,FR,1.Pro,One Day,2023/02/26,2023/02/26,
2023,Men,84,Kuurne-Brussel-Kuurne,Road,BE,1.Pro,One Day,2023/02/26,2023/02/26,Cobbled Classic
2023,Men,116,Le Samyn,Road,BE,1.1,One Day,2023/02/28,2023/02/28,Cobbled Classic
2023,Men,112,Trofeo Laigueglia,Road,IT,1.Pro,One Day,2023/03/01,2023/03/01,
