season,team_id,team_name,uci_division
2023,21802,AG2R Citroën Team,Men's World Tour
2023,22369,Alpecin-Deceuninck,Men's World Tour
2023,23979,Astana Qazaqstan Team,Men's World Tour
2023,22726,Bahrain Victorious,Men's World Tour
2023,22246,BORA-hansgrohe,Men's World Tour
2023,23414,Cofidis,Men's World Tour
2023,27133,EF Education-EasyPost,Men's World Tour
2023,21815,Groupama-FDJ,Men's World Tour
2023,21828,INEOS Grenadiers,Men's World Tour
2023,27884,Intermarché-Circus-Wanty,Men's World Tour
2023,21831,Jumbo-Visma,Men's World Tour
2023,25886,Lidl-Trek,Men's World Tour
2023,22310,Movistar Team,Men's World Tour
2023,21810,Soudal Quick-Step,Men's World Tour
2023,24592,Team Arkéa-Samsic,Men's World Tour
2023,21834,Team dsm-firmenich,Men's World Tour
2023,28389,Team Jayco-AlUla,Men's World Tour
2023,21840,UAE Team Emirates,Men's World Tour
2023,27800,Bingoal WB,Men's ProConti
2023,33369,Bolton Equities Black Spoke,Men's ProConti
2023,28133,Burgos-BH,Men's ProConti
2023,28058,Caja Rural-Seguros RGA,Men's ProConti
2023,33371,Corratec Selle Italia,Men's ProConti
2023,27876,EOLO-Kometa Cycling Team,Men's ProConti
2023,22926,Equipo Kern Pharma,Men's ProConti
2023,22017,Euskaltel-Euskadi,Men's ProConti
2023,22727,Green Project-Bardiani CSF-Faizanè,Men's ProConti
2023,28220,Human Powered Health,Men's ProConti
2023,22311,Israel-Premier Tech,Men's ProConti
2023,27173,Lotto Dstny,Men's ProConti
2023,33680,Q36.5 Pro Cycling Team,Men's ProConti
2023,27699,Team Flanders-Baloise,Men's ProConti
2023,23604,Team Novo Nordisk,Men's ProConti
2023,27883,TotalEnergies,Men's ProConti
2023,33370,Tudor Pro Cycling Team,Men's ProConti
2023,22650,Uno-X Pro Cycling Team,Men's ProConti
2023,34711,7 Eleven Cliqq-Air21 by Roadbike Philippines,Men's Conti
2023,33562,ABLOC CT,Men's Conti
2023,33556,ABTF Betão - Feirense,Men's Conti
2023,35878,Adria Mobil,Men's Conti
