season,gender,category,first_cycling_race_id,race_name,race_nationality,uci_race_classification,stage_race_boolean,start_date,end_date,stage_number,distance,route,stage_profile_category_mapping_eng
2023,Men,Road,677,Giro del Sol San Juan,AR,2.2,Stage Race,2023/01/06,2023/01/08,1,153,Plaza 25 de Mayo-Circuito San Juan Villicum,Flat
2023,Men,Road,677,Giro del Sol San Juan,AR,2.2,Stage Race,2023/01/06,2023/01/08,2,134.3,Circuito San Juan Villicum-Circuito San Juan Villicum,Flat
2023,Men,Road,677,Giro del Sol San Juan,AR,2.2,Stage Race,2023/01/06,2023/01/08,3,179.9,Circuito San Juan Villicum-Circuito San Juan Villicum,Flat
2023,Men,Road,456,NZ Cycle Classic,NZ,2.2,Stage Race,2023/01/11,2023/01/15,1,123,Masterton-Masterton,Flat
2023,Men,Road,456,NZ Cycle Classic,NZ,2.2,Stage Race,2023/01/11,2023/01/15,2,127.3,Masterton-Martinborough,Flat
2023,Men,Road,456,NZ Cycle Classic,NZ,2.2,Stage Race,2023/01/11,2023/01/15,5,49.6,Wellington-Wellington,Flat
2023,Men,Road,456,NZ Cycle Classic,NZ,2.2,Stage Race,2023/01/11,2023/01/15,3,155.5,Masterton-Admiral Hill,Hilly MTF
2023,Men,Road,456,NZ Cycle Classic,NZ,2.2,Stage Race,2023/01/11,2023/01/15,4,126,Miramar-Miramar,Hilly
2023,Men,Road,454,Vuelta al Táchira,VE,2.2,Stage Race,2023/01/15,2023/01/22,1,149.8,San Cristóbal-Tariba,Flat
2023,Men,Road,454,Vuelta al Táchira,VE,2.2,Stage Race,2023/01/15,2023/01/22,3,126.5,San Juan De Colón-La Tendida,Flat
2023,Men,Road,454,Vuelta al Táchira,VE,2.2,Stage Race,2023/01/15,2023/01/22,8,117.3,San Cristóbal-San Cristóbal,Flat
2023,Men,Road,454,Vuelta al Táchira,VE,2.2,Stage Race,2023/01/15,2023/01/22,2,141.5,San Josecito-San Cristóbal,Hilly MTF
2023,Men,Road,454,Vuelta al Táchira,VE,2.2,Stage Race,2023/01/15,2023/01/22,4,133.1,Lagunillas-Mérida,Hilly MTF
2023,Men,Road,454,Vuelta al Táchira,VE,2.2,Stage Race,2023/01/15,2023/01/22,5,134.4,La Tendida-La Grita,Mountain MTF
2023,Men,Road,454,Vuelta al Táchira,VE,2.2,Stage Race,2023/01/15,2023/01/22,6,132.3,La Fría-Casa Del Padre,Mountain MTF
2023,Men,Road,454,Vuelta al Táchira,VE,2.2,Stage Race,2023/01/15,2023/01/22,7,137,Ureña-Cerro Del Cristo Rey,Mountain MTF
2023,Men,Road,1,Tour Down Under,AU,2.UWT,Stage Race,2023/01/17,2023/01/22,4,133.2,Port Willunga-Willunga,Flat
2023,Men,Road,1,Tour Down Under,AU,2.UWT,Stage Race,2023/01/17,2023/01/22,5,112.5,Unley-Mount Lofty,Hilly MTF
2023,Men,Road,1,Tour Down Under,AU,2.UWT,Stage Race,2023/01/17,2023/01/22,1,149.9,Tanunda-Tanunda,Hilly
2023,Men,Road,1,Tour Down Under,AU,2.UWT,Stage Race,2023/01/17,2023/01/22,2,154.8,Brighton-Victor Harbor,Hilly
