index,season,first_cycling_race_id,position,first_cycling_rider_id,gc_time,stage,gc_time_leader,bib_number,first_cycling_team_id,team_name_invitational,gender,race_name,category,race_nationality,uci_race_classification,stage_race_boolean,start_date,end_date
0,2023,677,1,44684,NaN,GC,10:07:43,14 ,34594,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
1,2023,677,2,185119,NaN,GC,+ 04,176 ,None,Chile,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2,2023,677,3,31291,NaN,GC,+ 08,21 ,34593,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
3,2023,677,4,46432,NaN,GC,+ 09,164 ,34693,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
4,2023,677,5,130983,NaN,GC,+ 12,72 ,34614,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
5,2023,677,6,35273,NaN,GC,+ 12,26 ,34593,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
6,2023,677,7,40223,NaN,GC,+ 23,12 ,34594,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
7,2023,677,8,6424,NaN,GC,+ 29,22 ,34593,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
8,2023,677,9,23091,NaN,GC,+ 35,2 ,34592,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
9,2023,677,10,72955,NaN,GC,+ 36,32 ,34591,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
10,2023,677,11,23070,NaN,GC,+ 37,11 ,34594,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
11,2023,677,12,12347,NaN,GC,+ 41,46 ,34590,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
12,2023,677,13,88846,NaN,GC,+ 41,51 ,34589,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
13,2023,677,14,111717,NaN,GC,+ 42,193 ,None,Venezuela,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
14,2023,677,15,18161,NaN,GC,+ 43,61 ,34658,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
15,2023,677,16,9495,NaN,GC,+ 43,31 ,34591,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
16,2023,677,17,123177,NaN,GC,+ 43,131 ,34701,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
17,2023,677,18,180404,NaN,GC,+ 43,171 ,None,Chile,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
18,2023,677,19,8600,NaN,GC,+ 43,23 ,34593,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
19,2023,677,20,75666,NaN,GC,+ 43,202 ,None,Uruguay,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
20,2023,677,21,14836,NaN,GC,+ 43,33 ,34591,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
21,2023,677,22,30181,NaN,GC,+ 43,154 ,None,Peru,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
22,2023,677,23,5671,NaN,GC,+ 43,185 ,34375,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
23,2023,677,24,75665,NaN,GC,+ 43,201 ,None,Uruguay,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
24,2023,677,25,103992,NaN,GC,+ 43,3 ,34592,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
25,2023,677,26,54974,NaN,GC,+ 43,151 ,None,Peru,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
26,2023,677,27,57025,NaN,GC,+ 43,204 ,None,Uruguay,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
27,2023,677,28,31292,NaN,GC,+ 43,41 ,34590,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
28,2023,677,29,206319,NaN,GC,+ 43,145 ,34699,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
29,2023,677,30,43905,NaN,GC,+ 43,91 ,34616,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
30,2023,677,31,57450,NaN,GC,+ 43,17 ,34594,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
31,2023,677,32,111668,NaN,GC,+ 43,52 ,34589,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
32,2023,677,33,107569,NaN,GC,+ 01:08,186 ,34375,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
33,2023,677,34,191798,NaN,GC,+ 01:14,182 ,34375,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
34,2023,677,35,47321,NaN,GC,+ 01:18,34 ,34591,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
35,2023,677,36,84388,NaN,GC,+ 01:22,162 ,34693,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
36,2023,677,37,25650,NaN,GC,+ 01:44,191 ,None,Venezuela,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
37,2023,677,38,45700,NaN,GC,+ 01:44,175 ,None,Chile,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
38,2023,677,39,82730,NaN,GC,+ 02:00,196 ,None,Venezuela,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
39,2023,677,40,55559,NaN,GC,+ 02:27,5 ,34592,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
40,2023,677,41,104926,NaN,GC,+ 02:37,65 ,34658,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
41,2023,677,42,73908,NaN,GC,+ 02:43,63 ,34658,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
