season,first_cycling_team_id,team_name,uci_division_id,uci_division_name
2023,27800,Bingoal WB,1,UCI Men's World Tour
2023,33369,Bolton Equities Black Spoke,1,UCI Men's World Tour
2023,28133,Burgos-BH,1,UCI Men's World Tour
2023,28058,Caja Rural-Seguros RGA,1,UCI Men's World Tour
2023,33371,Corratec Selle Italia,1,UCI Men's World Tour
2023,27876,EOLO-Kometa Cycling Team,1,UCI Men's World Tour
2023,22926,Equipo Kern Pharma,1,UCI Men's World Tour
2023,22017,Euskaltel-Euskadi,1,UCI Men's World Tour
2023,22727,Green Project-Bardiani CSF-Faizanè,1,UCI Men's World Tour
2023,28220,Human Powered Health,1,UCI Men's World Tour
2023,22311,Israel-Premier Tech,1,UCI Men's World Tour
2023,27173,Lotto Dstny,1,UCI Men's World Tour
2023,33680,Q36.5 Pro Cycling Team,1,UCI Men's World Tour
2023,27699,Team Flanders-Baloise,1,UCI Men's World Tour
2023,23604,Team Novo Nordisk,1,UCI Men's World Tour
2023,27883,TotalEnergies,1,UCI Men's World Tour
2023,33370,Tudor Pro Cycling Team,1,UCI Men's World Tour
2023,22650,Uno-X Pro Cycling Team,1,UCI Men's World Tour
2023,34711,7 Eleven Cliqq-Air21 by Roadbike Philippines,2,UCI Men's Pro Conti
2023,33562,ABLOC CT,2,UCI Men's Pro Conti
2023,33556,ABTF Betão - Feirense,2,UCI Men's Pro Conti
2023,35878,Adria Mobil,2,UCI Men's Pro Conti
2023,34290,Aisan Racing Team,2,UCI Men's Pro Conti
2023,33306,Allinq Continental Cyclingteam,2,UCI Men's Pro Conti
2023,34986,Almaty Astana Motors,2,UCI Men's Pro Conti
2023,33051,Alpecin-Deceuninck Development Team,2,UCI Men's Pro Conti
2023,33711,AP Hotels &amp; Resorts / Tavira / SC Farense,2,UCI Men's Pro Conti
2023,34612,ARA | Skip Capital,2,UCI Men's Pro Conti
2023,33795,Astana Qazaqstan Development Team,2,UCI Men's Pro Conti
2023,33908,ATT Investments,2,UCI Men's Pro Conti
2023,33432,Aviludo - Louletano - Loulé Concelho,2,UCI Men's Pro Conti
2023,33555,BAI Sicasal Petro de Luanda,2,UCI Men's Pro Conti
2023,33631,BEAT Cycling Club,2,UCI Men's Pro Conti
2023,34374,Beltrami TSA-Tre Colli,2,UCI Men's Pro Conti
2023,34207,Beykoz Belediyesi Spor Kulübü,2,UCI Men's Pro Conti
2023,33367,BHS-PL Beton Bornholm,2,UCI Men's Pro Conti
2023,33413,Biesse-Carrera,2,UCI Men's Pro Conti
2023,33268,BIKE AID,2,UCI Men's Pro Conti
2023,33030,Bingoal WB Devo Team,2,UCI Men's Pro Conti
2023,34987,Bodywrap LTWOO Cycling Team,2,UCI Men's Pro Conti
2023,34682,Canel´s-ZeroUno,2,UCI Men's Pro Conti
2023,34593,Chimbas te Quiero,2,UCI Men's Pro Conti
2023,33270,China Glory Continental Cycling Team,2,UCI Men's Pro Conti
2023,32810,CIC U Nantes Atlantique,2,UCI Men's Pro Conti
2023,32751,Circus-ReUz-Technord,2,UCI Men's Pro Conti
2023,40612,CK Kronborg Pro,2,UCI Men's Pro Conti
2023,33111,Credibom / LA Alumínios / Marcos Car,2,UCI Men's Pro Conti
2023,33106,Cycling Team Friuli ASD,2,UCI Men's Pro Conti
2023,34988,Cycling Team Kranj,2,UCI Men's Pro Conti
2023,37135,D'Amico UM Tools,2,UCI Men's Pro Conti
2023,28089,Development Team dsm-firmenich,2,UCI Men's Pro Conti
2023,34990,DFT CCN Meshkin Shahr,2,UCI Men's Pro Conti
2023,34989,Dukla Banská Bystrica,2,UCI Men's Pro Conti
2023,34590,EC Municipalidad de Pocito,2,UCI Men's Pro Conti
2023,34106,EF Education-NIPPO Development Team,2,UCI Men's Pro Conti
2023,33000,Efapel Cycling,2,UCI Men's Pro Conti
2023,33913,Electro Hiper Europa,2,UCI Men's Pro Conti
2023,33407,Elkov-Kasper,2,UCI Men's Pro Conti
2023,33364,Epronex-Hungary Cycling Team,2,UCI Men's Pro Conti
2023,33279,EuroCyclingTrips,2,UCI Men's Pro Conti
