"","season","gender","category","first_cycling_race_id","paralympics_race_id","race_name","race_nationality","uci_race_classification","stage_race_boolean","start_date","end_date","stage_number","distance","route","stage_profile","race_tags"
"1",2023,"men","Road",677,NA,"Giro del Sol San Juan","AR","2.2","Stage Race","2023/01/06","2023/01/08","01","153","Plaza 25 de Mayo-Circuito San Juan Villicum","Flat","            "
"2",2023,"men","Road",677,NA,"Giro del Sol San Juan","AR","2.2","Stage Race","2023/01/06","2023/01/08","02","134.3","Circuito San Juan Villicum-Circuito San Juan Villicum","Flat","            "
"3",2023,"men","Road",677,NA,"Giro del Sol San Juan","AR","2.2","Stage Race","2023/01/06","2023/01/08","03","179.9","Circuito San Juan Villicum-Circuito San Juan Villicum","Flat","            "
"4",2023,"men","Road",456,NA,"NZ Cycle Classic","NZ","2.2","Stage Race","2023/01/11","2023/01/15","01","123","Masterton-Masterton","Flat","            "
"5",2023,"men","Road",456,NA,"NZ Cycle Classic","NZ","2.2","Stage Race","2023/01/11","2023/01/15","02","127.3","Masterton-Martinborough","Flat","            "
"6",2023,"men","Road",456,NA,"NZ Cycle Classic","NZ","2.2","Stage Race","2023/01/11","2023/01/15","05","49.6","Wellington-Wellington","Flat","            "
"7",2023,"men","Road",456,NA,"NZ Cycle Classic","NZ","2.2","Stage Race","2023/01/11","2023/01/15","04","126","Miramar-Miramar","Hilly","            "
"8",2023,"men","Road",456,NA,"NZ Cycle Classic","NZ","2.2","Stage Race","2023/01/11","2023/01/15","03","155.5","Masterton-Admiral Hill","Hilly MTF","            "
"9",2023,"men","Road",454,NA,"Vuelta al Táchira","VE","2.2","Stage Race","2023/01/15","2023/01/22","01","149.8","San Cristóbal-Tariba","Flat","            "
"10",2023,"men","Road",454,NA,"Vuelta al Táchira","VE","2.2","Stage Race","2023/01/15","2023/01/22","03","126.5","San Juan De Colón-La Tendida","Flat","            "
"11",2023,"men","Road",454,NA,"Vuelta al Táchira","VE","2.2","Stage Race","2023/01/15","2023/01/22","08","117.3","San Cristóbal-San Cristóbal","Flat","            "
"12",2023,"men","Road",454,NA,"Vuelta al Táchira","VE","2.2","Stage Race","2023/01/15","2023/01/22","02","141.5","San Josecito-San Cristóbal","Hilly MTF","            "
"13",2023,"men","Road",454,NA,"Vuelta al Táchira","VE","2.2","Stage Race","2023/01/15","2023/01/22","04","133.1","Lagunillas-Mérida","Hilly MTF","            "
"14",2023,"men","Road",454,NA,"Vuelta al Táchira","VE","2.2","Stage Race","2023/01/15","2023/01/22","05","134.4","La Tendida-La Grita","Mountain MTF","            "
"15",2023,"men","Road",454,NA,"Vuelta al Táchira","VE","2.2","Stage Race","2023/01/15","2023/01/22","06","132.3","La Fría-Casa Del Padre","Mountain MTF","            "
"16",2023,"men","Road",454,NA,"Vuelta al Táchira","VE","2.2","Stage Race","2023/01/15","2023/01/22","07","137","Ureña-Cerro Del Cristo Rey","Mountain MTF","            "
"17",2023,"men","Road",1,NA,"Tour Down Under","AU","2.UWT","Stage Race","2023/01/17","2023/01/22","04","133.2","Port Willunga-Willunga","Flat"," World Tour      Aussie WT     "
"18",2023,"men","Road",1,NA,"Tour Down Under","AU","2.UWT","Stage Race","2023/01/17","2023/01/22","00","5.5","Adelaide-Adelaide","Flat ITT"," World Tour      Aussie WT     "
"19",2023,"men","Road",1,NA,"Tour Down Under","AU","2.UWT","Stage Race","2023/01/17","2023/01/22","01","149.9","Tanunda-Tanunda","Hilly"," World Tour      Aussie WT     "
"20",2023,"men","Road",1,NA,"Tour Down Under","AU","2.UWT","Stage Race","2023/01/17","2023/01/22","02","154.8","Brighton-Victor Harbor","Hilly"," World Tour      Aussie WT     "
"21",2023,"men","Road",1,NA,"Tour Down Under","AU","2.UWT","Stage Race","2023/01/17","2023/01/22","03","116.8","Norwood-Campbelltown","Hilly"," World Tour      Aussie WT     "
"22",2023,"men","Road",1,NA,"Tour Down Under","AU","2.UWT","Stage Race","2023/01/17","2023/01/22","05","112.5","Unley-Mount Lofty","Hilly MTF"," World Tour      Aussie WT     "
"23",2023,"men","Road",8467,NA,"Gravel and Tar","NZ","1.2","One Day","2023/01/21","2023/01/21","GC","","","Hilly","            "
"24",2023,"men","Road",411,NA,"Clàssica Comunitat Valenciana 1969 - GP Valencia","ES","1.1","One Day","2023/01/22","2023/01/22","GC","","","Flat","            "
"25",2023,"men","Road",5247,NA,"Vuelta a San Juan","AR","2.Pro","Stage Race","2023/01/22","2023/01/29","01","143.9","San Juan-San Juan","Flat","            "
"26",2023,"men","Road",5247,NA,"Vuelta a San Juan","AR","2.Pro","Stage Race","2023/01/22","2023/01/29","03","170.9","San Juan-San Juan","Flat","            "
"27",2023,"men","Road",5247,NA,"Vuelta a San Juan","AR","2.Pro","Stage Race","2023/01/22","2023/01/29","06","144.9","San Juan-San Juan","Flat","            "
"28",2023,"men","Road",5247,NA,"Vuelta a San Juan","AR","2.Pro","Stage Race","2023/01/22","2023/01/29","07","112","San Juan-San Juan","Flat","            "
"29",2023,"men","Road",5247,NA,"Vuelta a San Juan","AR","2.Pro","Stage Race","2023/01/22","2023/01/29","02","201.1","Villa San Augustin-San José de Jáchal","Hilly","            "
"30",2023,"men","Road",5247,NA,"Vuelta a San Juan","AR","2.Pro","Stage Race","2023/01/22","2023/01/29","04","196.5","San Juan-Barreal","Mountain MTF","            "
"31",2023,"men","Road",5247,NA,"Vuelta a San Juan","AR","2.Pro","Stage Race","2023/01/22","2023/01/29","05","173.7","San Juan-Alto de Colorado","Mountain MTF","            "
"32",2023,"men","Road",117,NA,"Tropicale Amissa Bongo","GA","2.1","Stage Race","2023/01/23","2023/01/29","02","111.5","Oyem-Mitzic","Flat","            "
"33",2023,"men","Road",117,NA,"Tropicale Amissa Bongo","GA","2.1","Stage Race","2023/01/23","2023/01/29","03","113","Lébamba-Mouila","Flat","            "
"34",2023,"men","Road",117,NA,"Tropicale Amissa Bongo","GA","2.1","Stage Race","2023/01/23","2023/01/29","05","103.5","Kango-Angondjé","Flat","            "
"35",2023,"men","Road",117,NA,"Tropicale Amissa Bongo","GA","2.1","Stage Race","2023/01/23","2023/01/29","06","127.2","Port-Gentil-Port-Gentil","Flat","            "
"36",2023,"men","Road",117,NA,"Tropicale Amissa Bongo","GA","2.1","Stage Race","2023/01/23","2023/01/29","07","133","Cap Esterias-Libreville","Flat","            "
"37",2023,"men","Road",117,NA,"Tropicale Amissa Bongo","GA","2.1","Stage Race","2023/01/23","2023/01/29","04","193.5","Mouila-Lambaréné","Hilly","            "
"38",2023,"men","Road",117,NA,"Tropicale Amissa Bongo","GA","2.1","Stage Race","2023/01/23","2023/01/29","01","121.5","Bitam-Oyem","Hilly MTF","            "
"39",2023,"men","Road",271,NA,"Trofeo Calvia","ES","1.1","One Day","2023/01/25","2023/01/25","GC","","","Hilly","           Challenge Mallorca "
"40",2023,"men","Road",273,NA,"Trofeo Alcudia - Port d'Alcudia","ES","1.1","One Day","2023/01/26","2023/01/26","GC","","","Flat","            "
"41",2023,"men","Road",274,NA,"Trofeo Andratx","ES","1.1","One Day","2023/01/27","2023/01/27","GC","","","Hilly","           Challenge Mallorca "
"42",2023,"men","Road",460,NA,"Tour of Sharjah","AE","2.2","Stage Race","2023/01/27","2023/01/31","02","130.7","Sharjah-Al Badayer","Flat","            "
"43",2023,"men","Road",460,NA,"Tour of Sharjah","AE","2.2","Stage Race","2023/01/27","2023/01/31","05","72.3","Sharjah-Sharjah","Flat","            "
"44",2023,"men","Road",460,NA,"Tour of Sharjah","AE","2.2","Stage Race","2023/01/27","2023/01/31","01","8.9","Sharjah-Sharjah","Flat ITT","            "
"45",2023,"men","Road",460,NA,"Tour of Sharjah","AE","2.2","Stage Race","2023/01/27","2023/01/31","03","117.1","Dibba Alshin-Wadi al Hilo","Hilly MTF","            "
"46",2023,"men","Road",460,NA,"Tour of Sharjah","AE","2.2","Stage Race","2023/01/27","2023/01/31","04","110.2","Kalba-Khorfakkan","Hilly MTF","            "
"47",2023,"men","Road",20014,NA,"Grand Prix Aspendos","TR","1.2","One Day","2023/01/28","2023/01/28","GC","","","Flat","            "
"48",2023,"men","Road",100,NA,"Trofeo Serra de Tramuntana","ES","1.1","One Day","2023/01/28","2023/01/28","GC","","","Hilly","           Challenge Mallorca "
"49",2023,"men","Road",1172,NA,"Cadel Road Race","AU","1.UWT","One Day","2023/01/29","2023/01/29","GC","","","Hilly"," World Tour      Aussie WT     "
"50",2023,"men","Road",83,NA,"Trofeo Palma","ES","1.1","One Day","2023/01/29","2023/01/29","GC","","","Flat","           Challenge Mallorca "
"51",2023,"men","Road",97,NA,"GP la Marseillaise","FR","1.1","One Day","2023/01/29","2023/01/29","GC","","","Hilly","            "
"52",2023,"men","Road",868,NA,"AlUla Tour","SA","2.1","Stage Race","2023/01/30","2023/02/03","01","180.5","Alula-Khaybar","Flat","        Middle East Races    "
"53",2023,"men","Road",868,NA,"AlUla Tour","SA","2.1","Stage Race","2023/01/30","2023/02/03","02","184","Alula-Shalal Sijlyat","Flat","        Middle East Races    "
"54",2023,"men","Road",868,NA,"AlUla Tour","SA","2.1","Stage Race","2023/01/30","2023/02/03","05","142.9","Alula-Maraya","Flat","        Middle East Races    "
"55",2023,"men","Road",868,NA,"AlUla Tour","SA","2.1","Stage Race","2023/01/30","2023/02/03","04","163.4","Maraya-Harrat Uwayrid","Hilly","        Middle East Races    "
"56",2023,"men","Road",868,NA,"AlUla Tour","SA","2.1","Stage Race","2023/01/30","2023/02/03","03","159.2","Al Manshiyah-Abu Rakah","Hilly MTF","        Middle East Races    "
"57",2023,"men","Road",11406,NA,"Tour du Sahel","MR","2.2","Stage Race","2023/02/01","2023/02/05","01","110","Berjeimatt-Akjoujt","Unknown","            "
"58",2023,"men","Road",11406,NA,"Tour du Sahel","MR","2.2","Stage Race","2023/02/01","2023/02/05","02","75","Yaghref-Aoujeft","Unknown","            "
"59",2023,"men","Road",11406,NA,"Tour du Sahel","MR","2.2","Stage Race","2023/02/01","2023/02/05","03","103","Atar-Choum","Unknown","            "
"60",2023,"men","Road",11406,NA,"Tour du Sahel","MR","2.2","Stage Race","2023/02/01","2023/02/05","04","76","Zouerate-Zouerate","Unknown","            "
"61",2023,"men","Road",11406,NA,"Tour du Sahel","MR","2.2","Stage Race","2023/02/01","2023/02/05","05","96","Bamako-Akjoujt","Unknown","            "
"62",2023,"men","Road",13738,NA,"Vuelta del Porvenir San Luis","AR","2.2","Stage Race","2023/02/01","2023/02/05","01","149.7","Tilisarao-Juana Koslay","Flat","            "
"63",2023,"men","Road",13738,NA,"Vuelta del Porvenir San Luis","AR","2.2","Stage Race","2023/02/01","2023/02/05","02","179.9","La Toma-La Toma","Flat","            "
"64",2023,"men","Road",13738,NA,"Vuelta del Porvenir San Luis","AR","2.2","Stage Race","2023/02/01","2023/02/05","05","121.6","San Luis-San Luis","Flat","            "
"65",2023,"men","Road",13738,NA,"Vuelta del Porvenir San Luis","AR","2.2","Stage Race","2023/02/01","2023/02/05","03","12.7","El Durazno-El Durazno","Flat ITT","            "
"66",2023,"men","Road",13738,NA,"Vuelta del Porvenir San Luis","AR","2.2","Stage Race","2023/02/01","2023/02/05","04","148.8","Juana Koslay-Juana Koslay","Hilly MTF","            "
"67",2023,"men","Road",319,NA,"Volta Comunitat Valenciana","ES","2.Pro","Stage Race","2023/02/01","2023/02/05","01","189.4","Orihuela-Altea","Hilly","            "
"68",2023,"men","Road",319,NA,"Volta Comunitat Valenciana","ES","2.Pro","Stage Race","2023/02/01","2023/02/05","03","145.1","Bétera-Sagunto","Hilly","            "
"69",2023,"men","Road",319,NA,"Volta Comunitat Valenciana","ES","2.Pro","Stage Race","2023/02/01","2023/02/05","05","93.2","Paterna-València","Hilly","            "
"70",2023,"men","Road",319,NA,"Volta Comunitat Valenciana","ES","2.Pro","Stage Race","2023/02/01","2023/02/05","02","178.2","Novelda-Benissa","Hilly MTF","            "
"71",2023,"men","Road",319,NA,"Volta Comunitat Valenciana","ES","2.Pro","Stage Race","2023/02/01","2023/02/05","04","181.6","Burriana-Altura","Mountain MTF","            "
"72",2023,"men","Road",106,NA,"Étoile de Bessèges","FR","2.1","Stage Race","2023/02/01","2023/02/05","01","159.6","Bellegarde-Bellegarde","Flat","            "
"73",2023,"men","Road",106,NA,"Étoile de Bessèges","FR","2.1","Stage Race","2023/02/01","2023/02/05","02","169.6","Begard-Aubais","Flat","            "
