"","X","paralympics_race_id","stage_number","rank","nationality","rider_id","rider_name","results"
"1",0,"beijing-2008_mens-track-individual-pursuit-cp4",1,1,"Japan","masashi-ishii","Masashi Ishii","3:37.848"
"2",1,"beijing-2008_mens-track-individual-pursuit-cp4",2,2,"Australia","christopher-scott","Christopher Scott","3:38.205"
"3",2,"beijing-2008_mens-track-individual-pursuit-cp4",3,3,"Czechia","jiri-bouska","Jiri Bouska","3:45.269"
"4",3,"beijing-2008_mens-track-individual-pursuit-cp4",4,4,"Spain","cesar-neira","Cesar Neira","3:45.322"
"5",4,"beijing-2008_mens-track-individual-pursuit-cp4",5,5,"Germany","klaus-lungershausen","Klaus Lungershausen","3:52.561"
"6",5,"beijing-2008_mens-track-individual-pursuit-cp4",6,6,"Czechia","lubos-jirka","Lubos Jirka","3:53.566"
"7",6,"beijing-2008_mens-track-individual-pursuit-cp4",7,7,"Ireland","enda-smyth","Enda Smyth","3:55.919"
"8",7,"beijing-2008_mens-track-individual-pursuit-cp4",8,8,"South Africa","janos-plekker","Janos Plekker","3:55.933"
"9",8,"beijing-2008_mens-track-individual-pursuit-cp4",9,9,"United States of America","michael-farrell-0","Michael Farrell","4:04.606"
"10",9,"beijing-2008_mens-track-individual-pursuit-cp4",2,1,"Spain","cesar-neira","Cesar Neira","3:45.753"
"11",10,"beijing-2008_mens-track-individual-pursuit-cp4",3,2,"Czechia","jiri-bouska","Jiri Bouska","3:48.912"
"12",11,"beijing-2008_mens-track-individual-pursuit-cp4",3,1,"Australia","christopher-scott","Christopher Scott","3:40.144"
"13",12,"beijing-2008_mens-track-individual-pursuit-cp4",4,2,"Japan","masashi-ishii","Masashi Ishii","3:40.157"
"14",13,"athens-2004_mens-track-individual-pursuit-bicycle-cp-div-4",1,1,"Australia","christopher-scott","Christopher Scott","3:35.370"
"15",14,"athens-2004_mens-track-individual-pursuit-bicycle-cp-div-4",2,2,"Australia","peter-homann","Peter Homann","3:43.315"
"16",15,"athens-2004_mens-track-individual-pursuit-bicycle-cp-div-4",3,3,"Czechia","jiri-bouska","Jiri Bouska","3:47.321"
"17",16,"athens-2004_mens-track-individual-pursuit-bicycle-cp-div-4",4,4,"Czechia","lubos-jirka","Lubos Jirka","3:53.706"
"18",17,"athens-2004_mens-track-individual-pursuit-bicycle-cp-div-4",5,5,"Germany","klaus-lungershausen","Klaus Lungershausen","3:55.548"
"19",18,"athens-2004_mens-track-individual-pursuit-bicycle-cp-div-4",6,6,"South Africa","stephan-herholdt","Stephan Herholdt","3:56.170"
"20",19,"athens-2004_mens-track-individual-pursuit-bicycle-cp-div-4",7,7,"South Africa","janos-plekker","Janos Plekker","3:58.448"
"21",20,"athens-2004_mens-track-individual-pursuit-bicycle-cp-div-4",8,8,"United States of America","albert-michini","Albert Michini","4:04.058"
"22",21,"athens-2004_mens-track-individual-pursuit-bicycle-cp-div-4",9,9,"Austria","michael-kurz","Michael Kurz","4:11.165"
"23",22,"athens-2004_mens-track-individual-pursuit-bicycle-cp-div-4",10,10,"France","michel-alcaine","Michel Alcaine","4:13.750"
"24",23,"athens-2004_mens-track-individual-pursuit-bicycle-cp-div-4",11,11,"Czechia","petr-plihal","Petr Plihal","4:16.365"
"25",24,"athens-2004_mens-track-individual-pursuit-bicycle-cp-div-4",2,1,"Czechia","lubos-jirka","Lubos Jirka","3:53.358"
"26",25,"athens-2004_mens-track-individual-pursuit-bicycle-cp-div-4",3,2,"Germany","klaus-lungershausen","Klaus Lungershausen","3:55.596"
"27",26,"athens-2004_mens-track-individual-pursuit-bicycle-cp-div-4",3,1,"Czechia","jiri-bouska","Jiri Bouska","3:43.611"
"28",27,"athens-2004_mens-track-individual-pursuit-bicycle-cp-div-4",4,2,"South Africa","stephan-herholdt","Stephan Herholdt",""
"29",28,"athens-2004_mens-track-individual-pursuit-bicycle-cp-div-4",4,1,"Australia","peter-homann","Peter Homann","3:40.651"
"30",29,"athens-2004_mens-track-individual-pursuit-bicycle-cp-div-4",5,2,"South Africa","janos-plekker","Janos Plekker",""
"31",30,"athens-2004_mens-track-individual-pursuit-bicycle-cp-div-4",5,1,"Australia","christopher-scott","Christopher Scott","3:35.901"
"32",31,"athens-2004_mens-track-individual-pursuit-bicycle-cp-div-4",6,2,"United States of America","albert-michini","Albert Michini",""
"33",32,"athens-2004_mens-track-individual-pursuit-bicycle-cp-div-4",6,1,"Czechia","jiri-bouska","Jiri Bouska","3:46.623"
"34",33,"athens-2004_mens-track-individual-pursuit-bicycle-cp-div-4",7,2,"Czechia","lubos-jirka","Lubos Jirka","3:52.216"
"35",34,"athens-2004_mens-track-individual-pursuit-bicycle-cp-div-4",7,1,"Australia","christopher-scott","Christopher Scott","3:32.958"
"36",35,"athens-2004_mens-track-individual-pursuit-bicycle-cp-div-4",8,2,"Australia","peter-homann","Peter Homann","3:41.437"
"37",36,"beijing-2008_mens-road-individual-road-race-lc1-2cp4",1,1,"Italy","fabio-triboli","Fabio Triboli","1:46:03"
"38",37,"beijing-2008_mens-road-individual-road-race-lc1-2cp4",2,2,"France","david-mercier","David Mercier","1:46:03"
"39",38,"beijing-2008_mens-road-individual-road-race-lc1-2cp4",3,3,"Australia","michael-gallagher","Michael Gallagher","1:46:03"
"40",39,"beijing-2008_mens-road-individual-road-race-lc1-2cp4",4,4,"Belgium","jan-boyen","Jan Boyen","1:46:03"
"41",40,"beijing-2008_mens-road-individual-road-race-lc1-2cp4",5,5,"Czechia","jiri-bouska","Jiri Bouska","1:46:13"
"42",41,"beijing-2008_mens-road-individual-road-race-lc1-2cp4",6,6,"Brazil","soelito-gohr","Soelito Gohr","1:46:13"
"43",42,"beijing-2008_mens-road-individual-road-race-lc1-2cp4",7,7,"Austria","wolfgang-eibeck","Wolfgang Eibeck","1:46:13"
"44",43,"beijing-2008_mens-road-individual-road-race-lc1-2cp4",8,8,"Spain","roberto-alcaide","Roberto Alcaide","1:46:13"
"45",44,"beijing-2008_mens-road-individual-road-race-lc1-2cp4",9,9,"Germany","klaus-lungershausen","Klaus Lungershausen","1:46:13"
"46",45,"beijing-2008_mens-road-individual-road-race-lc1-2cp4",10,10,"Spain","cesar-neira","Cesar Neira","1:46:13"
"47",46,"beijing-2008_mens-road-individual-road-race-lc1-2cp4",11,11,"Switzerland","ivan-renggli","Ivan Renggli","1:46:13"
