"","season","first_cycling_team_id","team_name","uci_division_name"
"1",2024,28019,"Alpecin-Deceuninck","UCI Men's World Tour"
"2",2024,27967,"ARKEA-B&amp;B HOTELS","UCI Men's World Tour"
"3",2024,28055,"Astana Qazaqstan Team","UCI Men's World Tour"
"4",2024,28325,"Bahrain Victorious","UCI Men's World Tour"
"5",2024,22247,"BORA-hansgrohe","UCI Men's World Tour"
"6",2024,31944,"Cofidis","UCI Men's World Tour"
"7",2024,23295,"Decathlon AG2R La Mondiale Team","UCI Men's World Tour"
"8",2024,32813,"EF Education-EasyPost","UCI Men's World Tour"
"9",2024,21816,"Groupama-FDJ","UCI Men's World Tour"
"10",2024,28581,"INEOS Grenadiers","UCI Men's World Tour"
"11",2024,27899,"Intermarché-Wanty","UCI Men's World Tour"
"12",2024,25887,"Lidl-Trek","UCI Men's World Tour"
"13",2024,28077,"Movistar Team","UCI Men's World Tour"
"14",2024,26329,"Soudal Quick-Step","UCI Men's World Tour"
"15",2024,21835,"Team dsm-firmenich PostNL","UCI Men's World Tour"
"16",2024,28999,"Team Jayco-AlUla","UCI Men's World Tour"
"17",2024,24737,"Team Visma | Lease a Bike","UCI Men's World Tour"
"18",2024,21841,"UAE Team Emirates","UCI Men's World Tour"
"19",2024,32899,"Bingoal WB","UCI Men's Pro Conti"
"20",2024,31611,"Burgos-BH","UCI Men's Pro Conti"
"21",2024,32764,"Caja Rural-Seguros RGA","UCI Men's Pro Conti"
"22",2024,32170,"Equipo Kern Pharma","UCI Men's Pro Conti"
"23",2024,31866,"Euskaltel-Euskadi","UCI Men's Pro Conti"
"24",2024,27923,"Israel-Premier Tech","UCI Men's Pro Conti"
"25",2024,27882,"Lotto Dstny","UCI Men's Pro Conti"
"26",2024,33681,"Q36.5 Pro Cycling Team","UCI Men's Pro Conti"
"27",2024,39513,"TdT-Unibet","UCI Men's Pro Conti"
"28",2024,34139,"Team corratec - Vini Fantini","UCI Men's Pro Conti"
"29",2024,32900,"Team Flanders-Baloise","UCI Men's Pro Conti"
"30",2024,39346,"Team Novo Nordisk","UCI Men's Pro Conti"
"31",2024,31485,"Team Polti Kometa","UCI Men's Pro Conti"
"32",2024,31901,"TotalEnergies","UCI Men's Pro Conti"
"33",2024,34245,"Tudor Pro Cycling Team","UCI Men's Pro Conti"
"34",2024,27165,"Uno-X Mobility","UCI Men's Pro Conti"
"35",2024,32811,"VF Group-Bardiani CSF-Faizanè","UCI Men's Pro Conti"
"36",2024,39529,"ABTF Betão - Feirense","Men's Conti"
"37",2024,40912,"Adria Mobil","Men's Conti"
"38",2024,40513,"Airtox - Carl Ras","Men's Conti"
"39",2024,39676,"Aisan Racing Team","Men's Conti"
"40",2024,40816,"Albiono Pro Cycling","Men's Conti"
"41",2024,41006,"Almaty Astana Motors","Men's Conti"
"42",2024,38374,"Alpecin-Deceuninck Development Team","Men's Conti"
"43",2024,39619,"AP Hotels &amp; Resorts - Tavira - SC Farense","Men's Conti"
"44",2024,40713,"ARA | Skip Capital","Men's Conti"
"45",2024,38991,"ARKEA-B&amp;B HOTELS Development Team","Men's Conti"
"46",2024,40466,"Astana Qazaqstan Development Team","Men's Conti"
"47",2024,40286,"ATT Investments","Men's Conti"
"48",2024,40623,"Aviludo - Louletano - Loulé Concelho","Men's Conti"
"49",2024,39226,"BEAT Cycling Club","Men's Conti"
"50",2024,40484,"Beltrami TSA-Tre Colli","Men's Conti"
