season,first_cycling_race_id,stage_number,distance,stage_profile_category,route
2023,677,1,182,Smaakupert,Bilbao- Bilbao
2023,677,2,207.3,Smaakupert,Vitoria-Gasteiz- San Sebastian
2023,677,3,193.5,Flatt,Amorebieta-Etxano-Bayonne
2023,677,4,181.8,Flatt,Dax-Nogaro
2023,677,5,162.7,Fjell,Pau-Laruns
2023,677,6,144.9,Fjell-MF,Tarbes-Cauterets-Cambasque
2023,677,7,169.9,Flatt,Mont-de-Marsan-Bordeaux
2023,677,8,200.7,Smaakupert,Liburne-Limoges
2023,677,9,182.4,Fjell-MF,Saint-Léonard-de-Noblat-Puy de Dôme
2023,677,10,167.2,Smaakupert,Vulcania-Issoire
2023,677,11,179.3,Flatt,Clermont-Ferrand-Moulins
2023,677,12,168,Smaakupert,Roanne-Belleville-en-Beaujolais
2023,677,13,137.8,Fjell-MF,Châtillon-sur-Chalaronne-Grand Colombier
2023,677,14,150.4,Fjell,Annemasse-Morzine
2023,677,15,179,Fjell-MF,Les Gets-Saint Gervais Mont-Blanc
2023,677,16,22.4,Tempo,Passy-Combloux
2023,677,17,165.7,Fjell,Saint Gervais Mont-Blanc-Courchevel
2023,677,18,184.9,Smaakupert,Moûtiers-Bourg-en-Bresse
2023,677,19,172.8,Flatt,Moirans-en-Montagne-Poligny
2023,677,20,133.5,Fjell,Belfort-Le Markstein
2023,677,21,115.1,Flatt,Saint-Quentin-en-Yvelines-Paris
2023,456,1,182,Smaakupert,Bilbao- Bilbao
2023,456,2,207.3,Smaakupert,Vitoria-Gasteiz- San Sebastian
2023,456,3,193.5,Flatt,Amorebieta-Etxano-Bayonne
2023,456,4,181.8,Flatt,Dax-Nogaro
2023,456,5,162.7,Fjell,Pau-Laruns
2023,456,6,144.9,Fjell-MF,Tarbes-Cauterets-Cambasque
2023,456,7,169.9,Flatt,Mont-de-Marsan-Bordeaux
2023,456,8,200.7,Smaakupert,Liburne-Limoges
2023,456,9,182.4,Fjell-MF,Saint-Léonard-de-Noblat-Puy de Dôme
2023,456,10,167.2,Smaakupert,Vulcania-Issoire
2023,456,11,179.3,Flatt,Clermont-Ferrand-Moulins
2023,456,12,168,Smaakupert,Roanne-Belleville-en-Beaujolais
2023,456,13,137.8,Fjell-MF,Châtillon-sur-Chalaronne-Grand Colombier
2023,456,14,150.4,Fjell,Annemasse-Morzine
2023,456,15,179,Fjell-MF,Les Gets-Saint Gervais Mont-Blanc
2023,456,16,22.4,Tempo,Passy-Combloux
2023,456,17,165.7,Fjell,Saint Gervais Mont-Blanc-Courchevel
2023,456,18,184.9,Smaakupert,Moûtiers-Bourg-en-Bresse
2023,456,19,172.8,Flatt,Moirans-en-Montagne-Poligny
2023,456,20,133.5,Fjell,Belfort-Le Markstein
2023,456,21,115.1,Flatt,Saint-Quentin-en-Yvelines-Paris
2023,454,1,182,Smaakupert,Bilbao- Bilbao
2023,454,2,207.3,Smaakupert,Vitoria-Gasteiz- San Sebastian
2023,454,3,193.5,Flatt,Amorebieta-Etxano-Bayonne
2023,454,4,181.8,Flatt,Dax-Nogaro
2023,454,5,162.7,Fjell,Pau-Laruns
2023,454,6,144.9,Fjell-MF,Tarbes-Cauterets-Cambasque
2023,454,7,169.9,Flatt,Mont-de-Marsan-Bordeaux
2023,454,8,200.7,Smaakupert,Liburne-Limoges
2023,454,9,182.4,Fjell-MF,Saint-Léonard-de-Noblat-Puy de Dôme
2023,454,10,167.2,Smaakupert,Vulcania-Issoire
2023,454,11,179.3,Flatt,Clermont-Ferrand-Moulins
2023,454,12,168,Smaakupert,Roanne-Belleville-en-Beaujolais
2023,454,13,137.8,Fjell-MF,Châtillon-sur-Chalaronne-Grand Colombier
2023,454,14,150.4,Fjell,Annemasse-Morzine
2023,454,15,179,Fjell-MF,Les Gets-Saint Gervais Mont-Blanc
2023,454,16,22.4,Tempo,Passy-Combloux
2023,454,17,165.7,Fjell,Saint Gervais Mont-Blanc-Courchevel
2023,454,18,184.9,Smaakupert,Moûtiers-Bourg-en-Bresse
2023,454,19,172.8,Flatt,Moirans-en-Montagne-Poligny
2023,454,20,133.5,Fjell,Belfort-Le Markstein
2023,454,21,115.1,Flatt,Saint-Quentin-en-Yvelines-Paris
2023,1,1,182,Smaakupert,Bilbao- Bilbao
2023,1,2,207.3,Smaakupert,Vitoria-Gasteiz- San Sebastian
2023,1,3,193.5,Flatt,Amorebieta-Etxano-Bayonne
2023,1,4,181.8,Flatt,Dax-Nogaro
2023,1,5,162.7,Fjell,Pau-Laruns
2023,1,6,144.9,Fjell-MF,Tarbes-Cauterets-Cambasque
2023,1,7,169.9,Flatt,Mont-de-Marsan-Bordeaux
2023,1,8,200.7,Smaakupert,Liburne-Limoges
2023,1,9,182.4,Fjell-MF,Saint-Léonard-de-Noblat-Puy de Dôme
2023,1,10,167.2,Smaakupert,Vulcania-Issoire
2023,1,11,179.3,Flatt,Clermont-Ferrand-Moulins
2023,1,12,168,Smaakupert,Roanne-Belleville-en-Beaujolais
2023,1,13,137.8,Fjell-MF,Châtillon-sur-Chalaronne-Grand Colombier
2023,1,14,150.4,Fjell,Annemasse-Morzine
2023,1,15,179,Fjell-MF,Les Gets-Saint Gervais Mont-Blanc
2023,1,16,22.4,Tempo,Passy-Combloux
2023,1,17,165.7,Fjell,Saint Gervais Mont-Blanc-Courchevel
2023,1,18,184.9,Smaakupert,Moûtiers-Bourg-en-Bresse
2023,1,19,172.8,Flatt,Moirans-en-Montagne-Poligny
2023,1,20,133.5,Fjell,Belfort-Le Markstein
2023,1,21,115.1,Flatt,Saint-Quentin-en-Yvelines-Paris
2023,5247,1,182,Smaakupert,Bilbao- Bilbao
2023,5247,2,207.3,Smaakupert,Vitoria-Gasteiz- San Sebastian
2023,5247,3,193.5,Flatt,Amorebieta-Etxano-Bayonne
2023,5247,4,181.8,Flatt,Dax-Nogaro
2023,5247,5,162.7,Fjell,Pau-Laruns
2023,5247,6,144.9,Fjell-MF,Tarbes-Cauterets-Cambasque
2023,5247,7,169.9,Flatt,Mont-de-Marsan-Bordeaux
2023,5247,8,200.7,Smaakupert,Liburne-Limoges
2023,5247,9,182.4,Fjell-MF,Saint-Léonard-de-Noblat-Puy de Dôme
2023,5247,10,167.2,Smaakupert,Vulcania-Issoire
2023,5247,11,179.3,Flatt,Clermont-Ferrand-Moulins
2023,5247,12,168,Smaakupert,Roanne-Belleville-en-Beaujolais
2023,5247,13,137.8,Fjell-MF,Châtillon-sur-Chalaronne-Grand Colombier
2023,5247,14,150.4,Fjell,Annemasse-Morzine
2023,5247,15,179,Fjell-MF,Les Gets-Saint Gervais Mont-Blanc
2023,5247,16,22.4,Tempo,Passy-Combloux
2023,5247,17,165.7,Fjell,Saint Gervais Mont-Blanc-Courchevel
2023,5247,18,184.9,Smaakupert,Moûtiers-Bourg-en-Bresse
2023,5247,19,172.8,Flatt,Moirans-en-Montagne-Poligny
2023,5247,20,133.5,Fjell,Belfort-Le Markstein
2023,5247,21,115.1,Flatt,Saint-Quentin-en-Yvelines-Paris
2023,117,1,182,Smaakupert,Bilbao- Bilbao
2023,117,2,207.3,Smaakupert,Vitoria-Gasteiz- San Sebastian
2023,117,3,193.5,Flatt,Amorebieta-Etxano-Bayonne
2023,117,4,181.8,Flatt,Dax-Nogaro
2023,117,5,162.7,Fjell,Pau-Laruns
2023,117,6,144.9,Fjell-MF,Tarbes-Cauterets-Cambasque
2023,117,7,169.9,Flatt,Mont-de-Marsan-Bordeaux
2023,117,8,200.7,Smaakupert,Liburne-Limoges
2023,117,9,182.4,Fjell-MF,Saint-Léonard-de-Noblat-Puy de Dôme
2023,117,10,167.2,Smaakupert,Vulcania-Issoire
2023,117,11,179.3,Flatt,Clermont-Ferrand-Moulins
